"Peak","Name","Season","Date","Time","Citizenship","Sex","Age","Oxy","Dth","Host","Year"
"EVER","Andrew Atis (Andy) Lapkass","1990 Spr","May 11","10:00","United States of America","M",32,TRUE,FALSE,"Nepal",1990
"EVER","Ang Jangbu Sherpa (Phortse, Khumbu)","1990 Spr","May 10","7:15","Nepal","M",28,TRUE,FALSE,"Nepal",1990
"EVER","Ang Kami Sherpa (Tsermadingma, Solukhumbu)","1990 Spr","Apr 23","17:15","Nepal","M",38,TRUE,FALSE,"Nepal",1990
"EVER","Ang Phurba Sherpa (Beding, Dolakha)","1990 Aut","Oct 07","","Nepal","M",42,TRUE,FALSE,"Nepal",1990
"EVER","Ang Rita Sherpa (Yilajung, Khumbu)","1990 Spr","Apr 23","17:15","Nepal","M",41,FALSE,FALSE,"Nepal",1990
"EVER","Ang Temba Sherpa (Beding, Dolakha)","1990 Aut","Oct 05","10:30","Nepal","M",31,TRUE,FALSE,"Nepal",1990
"EVER","Apa (Appa) Sherpa (Thami Og, Khumbu)","1990 Spr","May 10","10:00","Nepal","M",30,TRUE,FALSE,"Nepal",1990
"EVER","Babu Chiri (Babu Tshering) Sherpa (Chhulemu, Taksindu, Solukhumbu)","1990 Aut","Oct 06","9:00","Nepal","M",25,TRUE,FALSE,"Nepal",1990
"EVER","Bertrand (Zebulon) Roche","1990 Aut","Oct 07","10:30","France","M",17,TRUE,FALSE,"Nepal",1990
"EVER","Brent V. Manning","1990 Spr","May 10","7:15","United States of America","M",40,TRUE,FALSE,"Nepal",1990
"EVER","Catherine J. Gibson","1990 Aut","Oct 07","14:30","United States of America","F",35,TRUE,FALSE,"Nepal",1990
"EVER","Chang-Woo Park","1990 Aut","Oct 06","6:00","S Korea","M",26,TRUE,FALSE,"Nepal",1990
"EVER","Christine Janin","1990 Aut","Oct 05","16:50","France","F",33,TRUE,FALSE,"Nepal",1990
"EVER","Da Chimi (Da Qimi)","1990 Spr","May 07","13:13","China","M",32,TRUE,FALSE,"China",1990
"EVER","Da Nuru (Dawa Nuru/Norbu) Sherpa (Phortse, Khumbu)","1990 Spr","May 10","7:15","Nepal","M",30,TRUE,FALSE,"Nepal",1990
"EVER","Dachung (Daqiong)","1990 Spr","May 09","","China","M",27,TRUE,FALSE,"China",1990
"EVER","Dana Quentin Coffield","1990 Spr","May 10","7:15","United States of America","M",32,TRUE,FALSE,"Nepal",1990
"EVER","Daniel George (Dan) Culver","1990 Aut","Oct 04","14:00","Canada","M",38,TRUE,FALSE,"Nepal",1990
"EVER","Dawa Sange Sherpa (Ghat, Khumbu)","1990 Aut","Oct 06","8:00","Nepal","M",25,TRUE,FALSE,"Nepal",1990
"EVER","Denis Pivot","1990 Aut","Oct 07","12:40","France","M",31,TRUE,FALSE,"Nepal",1990
"EVER","Edmund Karl (Ed) Viesturs","1990 Spr","May 08","","United States of America","M",30,FALSE,FALSE,"China",1990
"EVER","Ekaterina Ivanova","1990 Spr","May 10","","USSR","F",27,TRUE,FALSE,"China",1990
"EVER","Erik Decamp","1990 Aut","Oct 05","12:00","France","M",36,TRUE,FALSE,"Nepal",1990
"EVER","Ervand Tikhonovich Ilyinski","1990 Spr","May 10","","USSR","M",49,TRUE,FALSE,"China",1990
"EVER","Gary Ian Ball","1990 Spr","May 10","8:45","New Zealand","M",37,TRUE,FALSE,"Nepal",1990
"EVER","Glenn Edward Porzak","1990 Spr","May 10","7:15","United States of America","M",41,TRUE,FALSE,"Nepal",1990
"EVER","Grigori Luniakov","1990 Spr","May 07","","USSR","M",35,FALSE,FALSE,"China",1990
